Class,Data
draw,"-476.29776,131.63986,-17.07618,24.771782,-13.558804,-11.967249,-1.1040701,-5.6925225,-9.098811,-3.4355903,-1.7161471,-4.5346437,-0.5346662,-7.47182,-8.49176,-5.9238524,-6.4058924,-8.486179,-4.3011255,-6.153807"
draw,"-503.11267,107.848724,-5.8494544,39.1227,-8.925799,-14.975242,-3.5273712,-10.411211,-5.5348363,-2.2485108,-3.2085557,1.0303481,-0.5060933,-9.91796,-7.507049,-5.973492,-6.3642745,-6.9946384,-0.6296459,-1.3324692"
draw,"-497.15244,118.5975,-4.901191,36.090694,-7.0239806,-17.83921,2.6818259,-3.7570133,-8.782031,-1.8747097,-1.9965883,-0.5190885,6.5628257,-3.3304248,-7.535539,-2.084274,-7.151958,-8.8049965,-3.1254778,-6.380193"
draw,"-495.8012,114.15037,2.3883333,28.499166,-18.052073,-16.988272,0.00089012703,-5.595587,-17.009811,-5.5075216,7.214025,-4.9225354,-0.87953055,-7.092581,-11.8419,-1.8020382,-10.014332,-10.446745,-1.1252475,-6.8766413"
draw,"-493.25,116.45358,2.4376514,25.65067,-18.611448,-11.998939,-2.940963,-3.3871684,-14.18259,-6.569409,5.32786,-6.1155467,-1.379725,-10.761232,-9.650616,-1.5559462,-10.214372,-9.974777,-4.8346834,-3.9105198"
draw,"-476.29776,131.63986,-17.07618,24.771782,-13.558804,-11.967249,-1.1040701,-5.6925225,-9.098811,-3.4355903,-1.7161471,-4.5346437,-0.5346662,-7.47182,-8.49176,-5.9238524,-6.4058924,-8.486179,-4.3011255,-6.153807"
draw,"-503.11267,107.848724,-5.8494544,39.1227,-8.925799,-14.975242,-3.5273712,-10.411211,-5.5348363,-2.2485108,-3.2085557,1.0303481,-0.5060933,-9.91796,-7.507049,-5.973492,-6.3642745,-6.9946384,-0.6296459,-1.3324692"
draw,"-497.15244,118.5975,-4.901191,36.090694,-7.0239806,-17.83921,2.6818259,-3.7570133,-8.782031,-1.8747097,-1.9965883,-0.5190885,6.5628257,-3.3304248,-7.535539,-2.084274,-7.151958,-8.8049965,-3.1254778,-6.380193"
draw,"-495.8012,114.15037,2.3883333,28.499166,-18.052073,-16.988272,0.00089012703,-5.595587,-17.009811,-5.5075216,7.214025,-4.9225354,-0.87953055,-7.092581,-11.8419,-1.8020382,-10.014332,-10.446745,-1.1252475,-6.8766413"
draw,"-493.25,116.45358,2.4376514,25.65067,-18.611448,-11.998939,-2.940963,-3.3871684,-14.18259,-6.569409,5.32786,-6.1155467,-1.379725,-10.761232,-9.650616,-1.5559462,-10.214372,-9.974777,-4.8346834,-3.9105198"
draw,"-376.43735,112.872894,-42.222908,11.140838,-47.321922,8.9730625,-10.842718,-1.8108633,1.4469885,-12.733453,-0.927208,-13.927111,0.9987921,-1.515104,0.97250265,3.6977496,-5.0961456,-14.260872,-10.829116,-5.2502947"
draw,"-442.09467,109.38414,-32.818687,27.96744,-31.492468,9.544199,-23.703987,3.4894822,-3.1174881,-11.192532,5.3579016,-8.946261,4.866372,-4.2678084,-0.31435972,-2.5979657,-2.9464366,-11.044453,-6.849427,-5.182235"
